Movie_id,Title,Rating,TotalVotes,MetaCritic,Budget,Runtime,Release Year,genre,Domestic,Worldwide,TotalRevenue
41835,The Hobbit: An Unexpected Journey,7.9,675678,0.0,180000000.0,169,2012,Adventure|Fantasy|Unknown,303003568,1021103568.0,1324107136.0
30250,The Hobbit: The Desolation of Smaug,7.9,520084,66.0,225000000.0,161,2013,Adventure|Fantasy|Unknown,258366855,958366855.0,1216733710.0
41963,The Hunger Games: Catching Fire,7.6,531466,76.0,130000000.0,146,2013,Action|Adventure|Mystery,424668047,865011746.0,1289679793.0
45458,The Imitation Game,8.1,540489,73.0,14000000.0,114,2014,Biography|Drama|Thriller,91125683,233555708.0,324681391.0
35832,The King's Speech,8.0,540240,88.0,15000000.0,118,2010,Biography|Drama|Unknown,135453143,414211549.0,549664692.0
47074,The Lego Movie,7.8,271515,83.0,60000000.0,100,2014,Animation|Action|Adventure,257760692,469160692.0,726921384.0
40310,The Little Prince,7.8,40777,70.0,81200000.0,108,2015,Animation|Adventure|Drama,1339152,97571250.0,98910402.0
24887,The Martian,8.0,569347,80.0,108000000.0,144,2015,Adventure|Drama|Sci-Fi,228433663,630161890.0,858595553.0
31592,The Perks of Being a Wallflower,8.0,382665,67.0,13000000.0,102,2012,Drama|Romance|Unknown,17742948,33384127.0,51127075.0
29441,The Revenant,8.0,512526,76.0,135000000.0,156,2015,Adventure|Drama|Thriller,183637894,532950503.0,716588397.0
39456,The Social Network,7.7,516417,95.0,40000000.0,120,2010,Biography|Drama|Unknown,96962694,224920315.0,321883009.0
40287,The Theory of Everything,7.7,305145,72.0,15000000.0,123,2014,Biography|Drama|Romance,35893537,123726688.0,159620225.0
32701,The Town,7.6,297426,74.0,37000000.0,125,2010,Crime|Drama|Thriller,92186262,154026136.0,246212398.0
35004,The Wolf of Wall Street,8.2,881984,75.0,100000000.0,180,2013,Biography|Comedy|Crime,116900694,392000694.0,508901388.0
40832,Toy Story 3,8.3,596385,92.0,200000000.0,103,2010,Animation|Adventure|Comedy,415004880,1066969703.0,1481974583.0
44316,True Grit,7.6,257670,80.0,38000000.0,110,2010,Adventure|Drama|Western,171243005,252276927.0,423519932.0
20420,Tucker and Dale vs Evil,7.6,138624,65.0,5000000.0,0,2010,Comedy|Horror|Unknown,223838,4749516.0,4973354.0
20709,Tyrannosaur,7.6,26016,65.0,1000000.0,0,2011,Drama|Unknown,22321,22321.0,44642.0
17545,Warrior,8.2,361049,71.0,25000000.0,140,2011,Action|Drama|Sport,13657115,23057115.0,36714230.0
35939,What We Do in the Shadows,7.6,87975,76.0,1600000.0,0,2014,Comedy|Horror|Unknown,3469224,6263224.0,9732448.0
38262,Whiplash,8.5,492285,88.0,3300000.0,107,2014,Drama|Music|Unknown,13092000,48982041.0,62074041.0
10023,Wreck-It Ralph,7.7,295125,72.0,165000000.0,0,2012,Animation|Adventure|Comedy,189422889,471222889.0,660645778.0
27783,X-Men: Days of Future Past,8.0,560736,74.0,200000000.0,132,2014,Action|Adventure|Sci-Fi,233921534,747862775.0,981784309.0
42294,X-Men: First Class,7.8,556713,65.0,160000000.0,132,2011,Action|Adventure|Sci-Fi,146408305,353624124.0,500032429.0
32217,Zootopia,8.1,309474,78.0,150000000.0,108,2016,Animation|Adventure|Comedy,341268248,1023784195.0,1365052443.0
